,0.755
1,0.2699
0.95,0.188
0.925,0.1268
0.9,0.0593
0.86,-0.0591
0.84,-0.1348
0.82,-0.2059
0.78,-0.3491
0.76,-0.4029
0.74,-0.4558
0.72,-0.4865
0.7,-0.4988
0.68,-0.4912
0.66,-0.4815
0.64,-0.4761
0.62,-0.4816
0.6,-0.4873
0.58,-0.5327
0.56,-0.5716
0.54,-0.5986
0.52,-0.6095
0.5,-0.618
0.475,-0.6135
0.45,-0.6019
0.425,-0.5991
0.4,-0.578
0.375,-0.5627
0.35,-0.5556
0.325,-0.5374
0.3,-0.5441
0.2375,-0.5726
0.225,-0.5916
0.2,-0.6029
0.18,-0.6132
0.16,-0.6272
0.14,-0.635
0.12,-0.6754
0.1,-0.6823
0.09,-0.6253
0.08,-0.5917
0.07,-0.5633
0.06,-0.5858
0.05,-0.6177
0.04,-0.6377
0.03,-0.7186
0.01,-0.2864
0.005,0.1217
0,1.1248
0.005,0.7218
0.01,0.4744
0.02,0.1656
0.03,-0.0233
0.04,-0.1165
0.05,-0.1601
0.075,-0.211
0.2,-0.3606
0.25,-0.408
0.3,-0.458
0.35,-0.4947
0.4,-0.4773
0.45,-0.4291
0.5,-0.3955
0.5625,-0.3802
0.6,-0.401
0.65,-0.3539
0.7,-0.156
0.725,-0.0389
0.75,0.0503
0.775,0.1241
0.8,0.1713
0.825,0.2101
0.85,0.2357
0.9,0.2506
0.95,0.2572
1,0.2699
