,0.841
1,0.1296
0.95,0.0849
0.925,0.0526
0.9,0.0438
0.86,0.0013
0.84,-0.0226
0.82,-0.047
0.78,-0.1161
0.76,-0.1574
0.74,-0.2177
0.72,-0.3825
0.7,-0.6685
0.68,-0.8137
0.66,-0.7917
0.64,-0.7895
0.62,-0.7902
0.6,-0.7777
0.58,-0.7729
0.56,-0.7504
0.54,-0.7336
0.52,-0.7062
0.5,-0.7001
0.475,-0.6744
0.45,-0.6554
0.425,-0.6669
0.4,-0.6539
0.375,-0.6505
0.35,-0.6387
0.325,-0.6322
0.3,-0.6313
0.2375,-0.6181
0.225,-0.6145
0.2,-0.6025
0.18,-0.5999
0.16,-0.5815
0.14,-0.5623
0.12,-0.5301
0.1,-0.4986
0.09,-0.4253
0.08,-0.4032
0.07,-0.3813
0.06,-0.4151
0.05,-0.4243
0.04,-0.4527
0.03,-0.4159
0.01,-0.0461
0.005,0.3286
0,1.1786
0.005,0.7499
0.01,0.4921
0.02,0.1914
0.03,0.0285
0.04,-0.0742
0.05,-0.1391
0.075,-0.1981
0.2,-0.3879
0.25,-0.4238
0.3,-0.4959
0.35,-0.5811
0.4,-0.6567
0.45,-0.709
0.5,-0.7348
0.5625,-0.7668
0.6,-0.8194
0.65,-0.3631
0.7,-0.2127
0.725,-0.1999
0.75,-0.1863
0.775,-0.1861
0.8,-0.1502
0.825,-0.1498
0.85,-0.0926
0.9,0.0213
0.95,0.1164
1,0.1296
