,0.502
0.9701,0.1395
0.9102,0.0509
0.8797,0.0111
0.8503,-0.0164
0.8198,-0.0486
0.79,-0.0793
0.7304,-0.1183
0.6994,-0.1469
0.6696,-0.1749
0.6396,-0.1956
0.6095,-0.2186
0.5792,-0.238
0.5494,-0.2676
0.5192,-0.2855
0.4893,-0.3265
0.4591,-0.337
0.3994,-0.3839
0.3691,-0.4189
0.3393,-0.4515
0.3102,-0.4743
0.2793,-0.4828
0.2492,-0.5479
0.2293,-0.5906
0.2096,-0.6146
0.1895,-0.6366
0.1697,-0.661
0.1496,-0.6819
0.1293,-0.706
0.1098,-0.7268
0.0995,-0.7264
0.0893,-0.7339
0.0803,-0.7556
0.0505,-0.743
0.0298,-0.7447
0.0191,-0.6492
0,0.9775
0.0197,0.3095
0.0296,0.1139
0.059,-0.1166
0.0697,-0.1462
0.0989,-0.2361
0.1195,-0.256
0.1801,-0.273
0.1997,-0.2946
0.22,-0.2832
0.24,-0.2703
0.2902,-0.269
0.32,-0.2685
0.3495,-0.2679
0.4103,-0.2467
0.4396,-0.2009
0.4698,-0.1851
0.5001,-0.1696
0.5302,-0.1448
0.5899,-0.1274
0.6201,-0.1036
0.6496,-0.106
0.7099,-0.072
0.7393,-0.0522
0.7699,-0.0511
0.799,-0.0136
0.8298,-0.0055
0.8598,0.0284
0.8895,0.0461
0.9195,0.0816
0.9497,0.1186
