,0.753
0.9701,0.1835
0.9102,0.0901
0.8797,0.0461
0.8503,0.0107
0.8198,-0.0257
0.79,-0.0567
0.7304,-0.107
0.6994,-0.1432
0.6696,-0.1736
0.6396,-0.1964
0.6095,-0.2216
0.5792,-0.243
0.5494,-0.2702
0.5192,-0.292
0.4893,-0.3248
0.4591,-0.3302
0.3994,-0.282
0.3691,-0.5305
0.3393,-0.9996
0.3102,-1.0231
0.2793,-1.0762
0.2492,-1.083
0.2293,-1.0762
0.2096,-1.0743
0.1895,-1.0624
0.1697,-1.0362
0.1496,-0.9945
0.1293,-0.955
0.1098,-0.9078
0.0995,-0.8842
0.0893,-0.8617
0.0803,-0.8504
0.0505,-0.6981
0.0298,-0.5767
0.0191,-0.3741
0,1.114
0.0197,0.3405
0.0296,0.1395
0.059,-0.1273
0.0697,-0.1735
0.0989,-0.2961
0.1195,-0.3245
0.1801,-0.3897
0.1997,-0.4059
0.22,-0.404
0.24,-0.3926
0.2902,-0.3793
0.32,-0.3212
0.3495,-0.366
0.4103,-0.3381
0.4396,-0.238
0.4698,-0.2348
0.5001,-0.2186
0.5302,-0.2031
0.5899,-0.1671
0.6201,-0.1375
0.6496,-0.1312
0.7099,-0.0834
0.7393,-0.0625
0.7699,-0.0436
0.799,-0.0149
0.8298,0.0052
0.8598,0.0448
0.8895,0.0718
0.9195,0.1128
0.9497,0.1552
