,0.5,0.7
0.9501,-0.108,-0.0799
0.9002,-0.2163,-0.2037
0.8002,-0.3701,-0.4119
0.75,-0.4263,-0.4979
0.7,-0.4646,-0.561
0.65,-0.4882,-0.6019
0.6002,-0.4955,-0.6185
0.5502,-0.4983,-0.616
0.5002,-0.4959,-0.615
0.4501,-0.4963,-0.6199
0.4003,-0.4975,-0.6248
0.3502,-0.5061,-0.6314
0.3001,-0.5259,-0.643
0.2503,-0.535,-0.6496
0.2003,-0.5473,-0.672
0.1507,-0.5717,-0.7264
0.1003,-0.6638,-0.8356
0.0759,-0.7462,-0.9227
0.0259,-0.858,-0.7958
0.0132,-0.6483,-0.4154
0,1.0611,1.1282
0,1.0611,1.1282
0.0126,0.4488,0.4517
0.0255,0.2712,0.2747
0.0495,0.1073,0.1109
0.0753,0.0194,0
0.1002,-0.0391,-0.0631
0.1503,-0.1038,-0.1375
0.1976,-0.1734,-0.2214
0.2503,-0.2112,-0.2679
0.3001,-0.2333,-0.296
0.3507,-0.2445,-0.3118
0.4001,-0.2403,-0.3061
0.4501,-0.2273,-0.285
0.5001,-0.1906,-0.2336
0.5497,-0.1164,-0.1415
0.6003,-0.0334,-0.0399
0.65,0.0348,0.0473
0.7,0.1285,0.1512
0.7501,0.2152,0.2447
0.8001,0.292,0.3276
0.8501,0.3658,0.4008
