,0.7
0.9501,-0.0798
0.9002,-0.1952
0.8002,-0.352
0.75,-0.4059
0.7,-0.4339
0.65,-0.4401
0.6002,-0.423
0.5502,-0.3944
0.5002,-0.3677
0.4501,-0.3422
0.4003,-0.3176
0.3502,-0.2926
0.3001,-0.272
0.2503,-0.2391
0.2003,-0.2006
0.1507,-0.1571
0.1003,-0.0897
0.0759,-0.045
0.0259,0.2901
0.0132,0.6114
0,0.653
0,0.653
0.0126,-0.8508
0.0255,-0.7823
0.0495,-0.8263
0.0753,-0.7751
0.1002,-0.7619
0.1503,-0.6966
0.1976,-0.7344
0.2503,-0.7188
0.3001,-0.6889
0.3507,-0.6496
0.4001,-0.5897
0.4501,-0.5166
0.5001,-0.415
0.5497,-0.285
0.6003,-0.1544
0.65,-0.0412
0.7,0.0766
0.7501,0.1772
0.8001,0.2595
0.8501,0.3263
