,0.7
0.9501,-0.0934
0.9002,-0.2197
0.8002,-0.4148
0.75,-0.4925
0.7,-0.5463
0.65,-0.577
0.6002,-0.5825
0.5502,-0.571
0.5002,-0.561
0.4501,-0.5592
0.4003,-0.556
0.3502,-0.5579
0.3001,-0.563
0.2503,-0.5618
0.2003,-0.5648
0.1507,-0.5938
0.1003,-0.6308
0.0759,-0.6646
0.0259,-0.51
0.0132,-0.1537
0,1.1086
0,1.1086
0.0126,0.2453
0.0255,0.0936
0.0495,-0.0509
0.0753,-0.1332
0.1002,-0.1901
0.1503,-0.2468
0.1976,-0.3222
0.2503,-0.3574
0.3001,-0.37
0.3507,-0.3827
0.4001,-0.3688
0.4501,-0.3392
0.5001,-0.2776
0.5497,-0.1758
0.6003,-0.0684
0.65,0.023
0.7,0.1319
0.7501,0.2289
0.8001,0.3137
0.8501,0.3875
