,0.49
0.9746,0.046980625
0.92,-0.009627069
0.8996,-0.022781434
0.7995,-0.075667187
0.7501,-0.106376487
0.6999,-0.128521377
0.6499,-0.159270131
0.5996,-0.198599077
0.5497,-0.225018281
0.4998,-0.260080804
0.4497,-0.303684064
0.4001,-0.373091026
0.3499,-0.476873991
0.2999,-0.589276602
0.2498,-0.688769471
0.1995,-0.826920548
0.1494,-0.96944063
0.0997,-1.150579465
0.0667,-1.322925051
0.0497,-1.495112816
0.0297,-1.684445181
0.0096,-1.719057915
0,0.532968767
0.0095,0.833938313
0.0297,0.404392153
0.0493,0.189721657
0.0664,0.095426353
0.0995,-0.007330777
0.1501,-0.075427826
0.2002,-0.096262803
0.2498,-0.091317751
0.3004,-0.095016019
0.3501,-0.059969278
0.4001,-0.012036467
0.45,0.005770981
0.5002,0.010723924
0.5502,0.011355207
0.6001,0.024927797
0.6502,0.034131381
0.7001,0.039100106
0.7504,0.035457075
0.8003,0.053288197
0.9,0.050308014
0.9203,0.072026787
0.9752,0.04269842
