,0.81
1,0.154054904
0.95,0.158471643
0.9,0.10697711
0.8,-0.023979391
0.7,-0.166856761
0.65,-0.186431212
0.6,-0.249901675
0.55,-0.325355935
0.5,-0.616376937
0.45,-0.995205695
0.4,-0.990804688
0.35,-0.994403367
0.3,-0.990018092
0.25,-1.021529143
0.2,-1.12895068
0.15,-1.120557697
0.123713024,-1.028537717
0.099101198,-0.9485094
0.080278927,-0.85652875
0.059978187,-0.756579879
0.038239143,-0.520880201
0.017949878,-0.381003697
0,1.020321718
0.009165132,
0.002847689,
0.008742439,0.193903878
0.039315958,0.297498623
0.059630087,0.261374184
0.1,0.181235743
0.2,0.04469834
0.35,-0.044312908
0.5,-0.009580744
0.7,0.02470306
0.9,0.118945174
0.95,0.206367498
1,0.158046881
