,0.7
0.9489,0.1058
0.8993,0.0378
0.85,-0.0256
0.8003,-0.0819
0.7489,-0.1412
0.6996,-0.1944
0.6495,-0.2399
0.5994,-0.2891
0.5492,-0.313
0.4997,-0.369
0.4496,-0.4123
0.3994,-0.5301
0.3499,-0.7673
0.2999,-1.3517
0.2501,-1.5229
0.1994,-1.6023
0.1503,-1.589
0.1012,-1.5197
0.0763,-1.4874
0.0515,-1.3883
0.0271,-1.2059
0.0135,-0.9421
0,0.789
0,0.789
0.0122,0.8449
0.0251,0.5679
0.051,0.2786
0.0755,0.14559
0.1,0.0442
0.1504,-0.0695
0.2004,-0.1265
0.2501,-0.1534
0.3002,-0.1605
0.3507,-0.1618
0.4,-0.1591
0.4503,-0.1412
0.5,-0.1351
0.5506,-0.122
0.5997,-0.1105
0.6502,-0.0975
0.7003,-0.0735
0.7497,-0.0454
0.7998,-0.0134
0.8503,0.0061
0.9,0.0259
0.9483,0.0966
