,0.4
0.9489,0.0792
0.8993,0.0226
0.85,-0.0254
0.8003,-0.0588
0.7489,-0.0926
0.6996,-0.1251
0.6495,-0.1507
0.5994,-0.1826
0.5492,-0.2066
0.4997,-0.2357
0.4496,-0.2622
0.3994,-0.2951
0.3499,-0.3208
0.2999,-0.3544
0.2501,-0.3808
0.1994,-0.4169
0.1503,-0.4268
0.1012,-0.4312
0.0763,-0.4027
0.0515,-0.3555
0.0271,-0.2151
0.0135,0.0327
0,1.0277
0,1.0277
0.0122,-0.0212
0.0251,-0.2806
0.051,-0.431
0.0755,-0.4551
0.1,-0.4809
0.1504,-0.4732
0.2004,-0.4469
0.2501,-0.4113
0.3002,-0.3737
0.3507,-0.3383
0.4,-0.3083
0.4503,-0.2715
0.5,-0.2471
0.5506,-0.225
0.5997,-0.1947
0.6502,-0.1654
0.7003,-0.1323
0.7497,-0.0974
0.7998,-0.0618
0.8503,-0.0308
0.9,0.0063
0.9483,0.0922
