,0.44
0.9746,-0.216081787
0.92,-0.24966797
0.8996,-0.280108309
0.7995,-0.308409472
0.7501,-0.351112885
0.6999,-0.393644707
0.6499,-0.436233726
0.5996,-0.478879942
0.5497,-0.53081498
0.4998,-0.56405798
0.4497,-0.625396233
0.4001,-0.705769708
0.3499,-0.776797164
0.2999,-0.885551878
0.2498,-0.994306593
0.1995,-1.197779834
0.1494,-1.391792663
0.0997,-1.6614316
0.0667,-1.948332645
0.0497,-2.177041281
0.0297,-2.632971428
0.0096,-4.243243583
0,-1.566575799
0.0095,1.092658285
0.0297,0.999941659
0.0493,0.840773352
0.0664,0.738367524
0.0995,0.571283127
0.1501,0.434295886
0.2002,0.344381922
0.2498,0.282963592
0.3004,0.240351694
0.3501,0.235581449
0.4001,0.230811205
0.45,0.226098157
0.5002,0.192946673
0.5502,0.178830409
0.6001,0.164656948
0.6502,0.160001098
0.7001,0.145656046
0.7504,0.122079369
0.8003,0.079467471
0.9,0.02273931
0.9203,0.015109207
0.9752,-0.111960044
