xc_raw,yb_raw,xc,yb,surf,section,cp
0.068029,0.9539,,,L,9,
0.096415,0.9539,,,L,9,
0.127694,0.9539,,,L,9,
0.161629,0.9539,,,L,9,
0.197963,0.9539,,,L,9,
0.236335,0.9539,,,L,9,
0.276981,0.9539,,,L,9,
0.319442,0.9539,,,L,9,
0.363751,0.9539,,,L,9,
0.410335,0.9539,,,L,9,
0.458507,0.9539,,,L,9,
0.508984,0.9539,,,L,9,
0.561119,0.9539,,,L,9,
0.615491,0.9539,,,L,9,
0.671552,0.9539,,,L,9,
0.72819,0.9539,,,L,9,
0.785998,0.9539,,,L,9,
0.843881,0.9539,,,L,9,
0.900483,0.9539,,,L,9,
0.95624,0.9539,,,L,9,
0.99619,0.9539,,,L,9,
0.99619,0.9883,,,U,10,
0.95624,0.9883,,,U,10,
0.900483,0.9883,,,U,10,
0.843881,0.9883,,,U,10,
0.785998,0.9883,,,U,10,
0.72819,0.9883,,,U,10,
0.671552,0.9883,,,U,10,
0.615491,0.9883,,,U,10,
0.561119,0.9883,,,U,10,
0.508984,0.9883,,,U,10,
0.458507,0.9883,,,U,10,
0.410335,0.9883,,,U,10,
0.363751,0.9883,,,U,10,
0.319442,0.9883,,,U,10,
0.276981,0.9883,,,U,10,
0.236335,0.9883,,,U,10,
0.197963,0.9883,,,U,10,
0.161629,0.9883,,,U,10,
0.127694,0.9883,,,U,10,
0.096415,0.9883,,,U,10,
0.068029,0.9883,,,U,10,
0.043449,0.9883,,,U,10,
0.026691,0.9883,,,U,10,
0.020164,0.9883,,,U,10,
0.015533,0.9883,,,U,10,
0.012003,0.9883,,,U,10,
0.008412,0.9883,,,U,10,
0.005101,0.9883,,,U,10,
0.001938,0.9883,,,U,10,
0,0.9883,,,U,10,
0.001938,0.9883,,,L,10,
0.005101,0.9883,,,L,10,
0.008412,0.9883,,,L,10,
0.012003,0.9883,,,L,10,
0.015533,0.9883,,,L,10,
0.020164,0.9883,,,L,10,
0.026691,0.9883,,,L,10,
0.043449,0.9883,,,L,10,
0.068029,0.9883,,,L,10,
0.096415,0.9883,,,L,10,
0.127694,0.9883,,,L,10,
0.161629,0.9883,,,L,10,
0.197963,0.9883,,,L,10,
0.236335,0.9883,,,L,10,
0.276981,0.9883,,,L,10,
0.319442,0.9883,,,L,10,
0.363751,0.9883,,,L,10,
0.410335,0.9883,,,L,10,
0.458507,0.9883,,,L,10,
0.508984,0.9883,,,L,10,
0.561119,0.9883,,,L,10,
0.615491,0.9883,,,L,10,
0.671552,0.9883,,,L,10,
0.72819,0.9883,,,L,10,
0.785998,0.9883,,,L,10,
0.843881,0.9883,,,L,10,
0.900483,0.9883,,,L,10,
0.95624,0.9883,,,L,10,
0.99619,0.9883,,,L,10,
