,0.4
0.9489,-0.1181
0.8993,-0.1637
0.85,-0.1848
0.8003,-0.2201
0.7489,-0.2599
0.6996,-0.3165
0.6495,-0.3613
0.5994,-0.4106
0.5492,-0.4698
0.4997,-0.5508
0.4496,-0.6398
0.3994,-0.7369
0.3499,-0.8292
0.2999,-0.9914
0.2501,-1.1352
0.1994,-1.3777
0.1503,-1.6616
0.1012,-2.0421
0.0763,-2.2718
0.0515,-2.587
0.0271,-3.6777
0.0135,-5.0322
0,-2.6486
0,-2.6486
0.0122,0.9735
0.0251,1.0084
0.051,0.8498
0.0755,0.7089
0.1,0.5996
0.1504,0.4383
0.2004,0.3305
0.2501,0.255
0.3002,0.2017
0.3507,0.1591
0.4,0.1247
0.4503,0.1033
0.5,0.0773
0.5506,0.0634
0.5997,0.048
0.6502,0.0284
0.7003,0.0157
0.7497,0.0145
0.7998,0.0008
0.8503,-0.0168
0.9,-0.05
0.9483,-0.0335
