,0.3
0.9489,-0.1037
0.8993,-0.16
0.85,-0.203
0.8003,-0.2482
0.7489,-0.2957
0.6996,-0.353
0.6495,-0.4059
0.5994,-0.4552
0.5492,-0.5099
0.4997,-0.583
0.4496,-0.668
0.3994,-0.754
0.3499,-0.8615
0.2999,-0.9914
0.2501,-1.1555
0.1994,-1.3402
0.1503,-1.6181
0.1012,-2.0702
0.0763,-2.4259
0.0515,-2.9366
0.0271,-3.9112
0.0135,-5.8191
0,-4.5791
0,-4.5791
0.0122,0.0197
0.0251,1.0019
0.051,0.9002
0.0755,0.7551
0.1,0.6626
0.1504,0.4885
0.2004,0.3805
0.2501,0.3041
0.3002,0.2462
0.3507,0.1997
0.4,0.1697
0.4503,0.136
0.5,0.1067
0.5506,0.0939
0.5997,0.0736
0.6502,0.0512
0.7003,0.0407
0.7497,0.0307
0.7998,0.017
0.8503,-0.003
0.9,-0.0314
0.9483,-0.0298
