,0.78
1,0.1
0.947,0
0.902,-0.05
0.852,-0.15
0.802,-0.31
0.752,-0.39
0.701,-0.42
0.651,-0.45
0.6,-0.51
0.551,-0.52
0.5,-0.54
0.45,-0.49
0.4,-0.48
0.352,-0.44
0.298,-0.39
0.251,-0.34
0.2,-0.24
0.15,-0.16
0.101,-0.07
0.075,0.04
0.051,0.16
0.025,0.28
0.013,0.5
0.006,0.82
0,0.85
0.013,-1.25
0.026,-1.24
0.05,-1.02
0.074,-0.65
0.101,-0.4
0.15,-0.2
0.2,-0.13
0.252,-0.09
0.302,-0.08
0.352,-0.08
0.4,-0.06
0.451,-0.02
0.501,0.01
0.551,0.03
0.601,0.07
0.652,0.09
0.702,0.12
0.752,0.15
0.801,0.17
0.851,0.16
0.902,0.16
0.951,0.11
