,0.58
1,-0.76
0.947,-0.79
0.902,-0.8
0.852,-0.81
0.802,-0.82
0.752,-0.82
0.701,-0.83
0.651,-0.82
0.6,-0.82
0.551,-0.81
0.5,-0.81
0.45,-0.8
0.4,-0.79
0.352,-0.79
0.298,-0.79
0.25,-0.79
0.2,-0.78
0.15,-0.78
0.1,-0.77
0.075,-0.77
0.05,-0.77
0.025,-0.77
0.013,-0.77
0.006,-0.78
0,-0.84
0.013,1.08
0.026,1.04
0.05,0.98
0.075,0.92
0.101,0.85
0.151,0.76
0.2,0.69
0.252,0.62
0.302,0.56
0.352,0.5
0.4,0.45
0.451,0.41
0.501,0.37
0.551,0.32
0.601,0.29
0.652,0.25
0.702,0.22
0.752,0.19
0.801,0.16
0.851,0.07
0.902,-0.06
0.951,-0.36
